"hs2_code","hs2_heading","hs4_code","hs4_heading"
"01","Live Animals","0101","Horses"
"01","Live Animals","0102","Bovine"
"01","Live Animals","0103","Pigs"
"01","Live Animals","0104","Sheep And Goats"
"01","Live Animals","0105","Poultry"
"01","Live Animals","0106","Other Animals"
"01","Live Animals","0198","Small Shipments In Extra Trade (Chapter 01)"
"02","Meat & Edible Offal","0201","Bovine Meat"
"02","Meat & Edible Offal","0202","Frozen Bovine Meat"
"02","Meat & Edible Offal","0203","Pig Meat"
"02","Meat & Edible Offal","0204","Sheep And Goat Meat"
"02","Meat & Edible Offal","0205","Horse Meat"
"02","Meat & Edible Offal","0206","Edible Offal"
"02","Meat & Edible Offal","0207","Poultry Meat"
"02","Meat & Edible Offal","0208","Other Meat"
"02","Meat & Edible Offal","0209","Animal Fat"
"02","Meat & Edible Offal","0210","Preserved Meat"
"02","Meat & Edible Offal","0298","Small Shipments In Extra Trade (Chapter 02)"
"03","Fish, Crustaceans & Molluscs","0301","Live Fish"
"03","Fish, Crustaceans & Molluscs","0302","Non-Fillet Fresh Fish"
"03","Fish, Crustaceans & Molluscs","0303","Non-Fillet Frozen Fish"
"03","Fish, Crustaceans & Molluscs","0304","Fish Fillets"
"03","Fish, Crustaceans & Molluscs","0305","Dried/Salted/Smoked/Brined Fish"
"03","Fish, Crustaceans & Molluscs","0306","Crustaceans"
"03","Fish, Crustaceans & Molluscs","0307","Molluscs"
"03","Fish, Crustaceans & Molluscs","0308","Aquatic Invertebrates, Other Than Crustaceans And Molluscs"
"03","Fish, Crustaceans & Molluscs","0309","Edible Fish Based Flours And Pellets"
"03","Fish, Crustaceans & Molluscs","0398","Small Shipments In Extra Trade (Chapter 03)"
"04","Edible Products Of Animal Origin, N.E.S.","0401","Milk"
"04","Edible Products Of Animal Origin, N.E.S.","0402","Concentrated Milk"
"04","Edible Products Of Animal Origin, N.E.S.","0403","Fermented Milk Products"
"04","Edible Products Of Animal Origin, N.E.S.","0404","Whey And Other Milk Products"
"04","Edible Products Of Animal Origin, N.E.S.","0405","Butter"
"04","Edible Products Of Animal Origin, N.E.S.","0406","Cheese"
"04","Edible Products Of Animal Origin, N.E.S.","0407","Eggs"
"04","Edible Products Of Animal Origin, N.E.S.","0408","Processed Egg Products"
"04","Edible Products Of Animal Origin, N.E.S.","0409","Honey"
"04","Edible Products Of Animal Origin, N.E.S.","0410","Other Edible Animal Products"
"04","Edible Products Of Animal Origin, N.E.S.","0498","Small Shipments In Extra Trade (Chapter 04)"
"05","Animal Originated Products, N.E.S.","0501","Human Hair"
"05","Animal Originated Products, N.E.S.","0502","Pig Hair"
"05","Animal Originated Products, N.E.S.","0503","Horsehair Waste"
"05","Animal Originated Products, N.E.S.","0504","Animal Organs"
"05","Animal Originated Products, N.E.S.","0505","Bird Feathers And Skins"
"05","Animal Originated Products, N.E.S.","0506","Processed Bones"
"05","Animal Originated Products, N.E.S.","0507","Raw Bones"
"05","Animal Originated Products, N.E.S.","0508","Coral And Shells"
"05","Animal Originated Products, N.E.S.","0509","Natural Sponges"
"05","Animal Originated Products, N.E.S.","0510","Pharmaceutical Animal Products"
"05","Animal Originated Products, N.E.S.","0511","Other Inedible Animal Products"
"05","Animal Originated Products, N.E.S.","0598","Small Shipments In Extra Trade (Chapter 05)"
"06","Live Trees, Plants, Bulbs, Cut Flowers, & Ornamental Foliage","0601","Bulbs And Roots"
"06","Live Trees, Plants, Bulbs, Cut Flowers, & Ornamental Foliage","0602","Other Live Plants, Cuttings And Slips; Mushroom Spawn"
"06","Live Trees, Plants, Bulbs, Cut Flowers, & Ornamental Foliage","0603","Cut Flowers"
"06","Live Trees, Plants, Bulbs, Cut Flowers, & Ornamental Foliage","0604","Plant Foliage"
"06","Live Trees, Plants, Bulbs, Cut Flowers, & Ornamental Foliage","0698","Small Shipments In Extra Trade (Chapter 06)"
"07","Edible Vegetables, Roots, & Tubers","0701","Potatoes"
"07","Edible Vegetables, Roots, & Tubers","0702","Tomatoes"
"07","Edible Vegetables, Roots, & Tubers","0703","Onions"
"07","Edible Vegetables, Roots, & Tubers","0704","Cabbages"
"07","Edible Vegetables, Roots, & Tubers","0705","Lettuce"
"07","Edible Vegetables, Roots, & Tubers","0706","Root Vegetables"
"07","Edible Vegetables, Roots, & Tubers","0707","Cucumbers"
"07","Edible Vegetables, Roots, & Tubers","0708","Legumes"
"07","Edible Vegetables, Roots, & Tubers","0709","Other Vegetables"
"07","Edible Vegetables, Roots, & Tubers","0710","Frozen Vegetables"
"07","Edible Vegetables, Roots, & Tubers","0711","Preserved Vegetables"
"07","Edible Vegetables, Roots, & Tubers","0712","Dried Vegetables"
"07","Edible Vegetables, Roots, & Tubers","0713","Dried Legumes"
"07","Edible Vegetables, Roots, & Tubers","0714","Cassava"
"07","Edible Vegetables, Roots, & Tubers","0798","Small Shipments In Extra Trade (Chapter 07)"
"08","Edible Fruits, Nuts & Fruit Peels","0801","Coconuts, Brazil Nuts, And Cashews"
"08","Edible Fruits, Nuts & Fruit Peels","0802","Other Nuts"
"08","Edible Fruits, Nuts & Fruit Peels","0803","Bananas"
"08","Edible Fruits, Nuts & Fruit Peels","0804","Tropical Fruits"
"08","Edible Fruits, Nuts & Fruit Peels","0805","Citrus"
"08","Edible Fruits, Nuts & Fruit Peels","0806","Grapes"
"08","Edible Fruits, Nuts & Fruit Peels","0807","Melons"
"08","Edible Fruits, Nuts & Fruit Peels","0808","Apples And Pears"
"08","Edible Fruits, Nuts & Fruit Peels","0809","Pitted Fruits"
"08","Edible Fruits, Nuts & Fruit Peels","0810","Other Fruits"
"08","Edible Fruits, Nuts & Fruit Peels","0811","Frozen Fruits And Nuts"
"08","Edible Fruits, Nuts & Fruit Peels","0812","Preserved Fruits And Nuts"
"08","Edible Fruits, Nuts & Fruit Peels","0813","Dried Fruits"
"08","Edible Fruits, Nuts & Fruit Peels","0814","Citrus And Melon Peels"
"08","Edible Fruits, Nuts & Fruit Peels","0898","Small Shipments In Extra Trade (Chapter 08)"
